Source File,Tactic,Level,Parent Technique ID,Technique ID,Technique Name,Description
deceive.js,Deceive,Technique,,AID-DV-001,Honeypot AI Services & Decoy Models/APIs,"Deploy decoy AI systems, such as fake LLM APIs, ML model endpoints serving synthetic or non-sensitive data, or imitation agent services, that are designed to appear valuable, vulnerable, or legitimate to potential attackers. These honeypots are instrumented for intensive monitoring to log all interactions, capture attacker TTPs (Tactics, Techniques, and Procedures), and gather threat intelligence without exposing real production systems or data. They can also be used to slow down attackers or waste their resources."
deceive.js,Deceive,Technique,,AID-DV-002,"Honey Data, Decoy Artifacts & Canary Tokens for AI","Strategically seed the AI ecosystem (training datasets, model repositories, configuration files, API documentation) with enticing but fake data, decoy model artifacts (e.g., a seemingly valuable but non-functional or instrumented model file), or canary tokens (e.g., fake API keys, embedded URLs in documents). These \""honey\"" elements are designed to be attractive to attackers. If an attacker accesses, exfiltrates, or attempts to use these decoys, it triggers an alert, signaling a breach or malicious activity and potentially providing information about the attacker's actions or location."
deceive.js,Deceive,Technique,,AID-DV-003,Dynamic Response Manipulation for AI Interactions,"Implement mechanisms where the AI system, upon detecting suspicious or confirmed adversarial interaction patterns (e.g., repeated prompt injection attempts, queries indicative of model extraction), deliberately alters its responses to be misleading, unhelpful, or subtly incorrect to the adversary. This aims to frustrate the attacker's efforts, waste their resources, make automated attacks less reliable, and potentially gather more intelligence on their TTPs without revealing the deception. The AI might simultaneously alert defenders to the ongoing deceptive engagement."
deceive.js,Deceive,Technique,,AID-DV-004,AI Output Watermarking & Telemetry Traps,"Embed imperceptible or hard-to-remove watermarks, unique identifiers, or telemetry \""beacons\"" into the outputs generated by AI models (e.g., text, images, code). If these outputs are found externally (e.g., on the internet, in a competitor's product, in leaked documents), the watermark or beacon can help trace the output back to the originating AI system, potentially identifying model theft, misuse, or data leakage. Telemetry traps involve designing the AI to produce specific, unique (but benign) outputs for certain rare or crafted inputs, which, if observed externally, indicate that the model or its specific knowledge has been compromised or replicated."
deceive.js,Deceive,Technique,,AID-DV-005,Decoy Agent Behaviors & Canary Tasks,"For autonomous AI agents, design and implement decoy or \""canary\"" functionalities, goals, or sub-agents that appear valuable or sensitive but are actually monitored traps. If an attacker successfully manipulates an agent (e.g., via prompt injection or memory poisoning) and directs it towards these decoy tasks or to exhibit certain predefined suspicious behaviors, it triggers an alert, revealing the compromise attempt and potentially the attacker's intentions, without risking real assets."
deceive.js,Deceive,Technique,,AID-DV-006,Deceptive System Information,"When probed by unauthenticated or suspicious users, the AI system provides misleading information about its architecture, capabilities, or underlying models. For example, an API might return headers suggesting it's built on a different framework, or an LLM might respond to 'What model are you?' with a decoy answer."
deceive.js,Deceive,Technique,,AID-DV-007,Training-Phase Obfuscation for Model Inversion Defense,"A deception technique that defends against model inversion attacks by intentionally adding controlled noise or obfuscation during the model's training phase. By making the relationship between inputs, outputs, and the model's internal parameters less deterministic, the resulting model becomes a 'noisier' and more opaque oracle. This deceives and frustrates an attacker's attempts to reconstruct sensitive training data from the model's outputs."
deceive.js,Deceive,Technique,,AID-DV-008,Poisoning Detection Canaries & Decoy Data,"This technique involves proactively embedding synthetic 'canary' or 'sentinel' data points into a training set to deceive and detect data poisoning attacks. These canaries are specifically crafted to be easily learned by the model under normal conditions. During training, the model's behavior on these specific points is monitored. If a data poisoning attack disrupts the overall data distribution or the training process, it will cause an anomalous reaction on these canaries (e.g., a sudden spike in loss, a change in prediction), triggering a high-fidelity alert that reveals the attack without the adversary realizing their method has been detected."
detect.js,Detect,Technique,,AID-D-001,Adversarial Input & Prompt Injection Detection,"Implement mechanisms to continuously monitor and analyze inputs to AI models, specifically looking for characteristics indicative of adversarial manipulation or malicious prompt content. This includes detecting statistically anomalous inputs (e.g., out-of-distribution samples, inputs with unusual perturbation patterns) and scanning prompts for known malicious patterns, hidden commands, jailbreak sequences, or attempts to inject executable code or harmful instructions. The goal is to block, flag, or sanitize such inputs before they can significantly impact the model's behavior or compromise the system."
detect.js,Detect,Technique,,AID-D-002,AI Model Anomaly & Performance Drift Detection,"Continuously monitor the outputs, performance metrics (e.g., accuracy, confidence scores, precision, recall, F1-score, output distribution), and potentially internal states or feature attributions of AI models during operation. This monitoring aims to detect significant deviations from established baselines or expected behavior. Such anomalies or drift can indicate various issues, including concept drift (changes in the underlying data distribution), data drift (changes in input data characteristics), or malicious activities like ongoing data poisoning attacks, subtle model evasion attempts, or model skewing."
detect.js,Detect,Technique,,AID-D-003,AI Output Monitoring & Policy Enforcement,"Actively inspect the outputs generated by AI models (e.g., text responses, classifications, agent actions) in near real-time. This involves enforcing predefined safety, security, and ethical policies on the outputs and taking action (e.g., blocking, sanitizing, alerting) when violations are detected."
detect.js,Detect,Technique,,AID-D-004,"Model & AI Artifact Integrity Monitoring, Audit & Tamper Detection","Regularly verify the cryptographic integrity and authenticity of deployed AI models, their parameters, associated datasets, and critical components of their runtime environment. This process aims to detect any unauthorized modifications, tampering, or the insertion of backdoors that could compromise the model's behavior, security, or data confidentiality. It ensures that the AI artifacts in operation are the approved, untampered versions."
detect.js,Detect,Technique,,AID-D-005,"AI Activity Logging, Monitoring & Threat Hunting","Establish and maintain detailed, comprehensive, and auditable logs of all significant activities related to AI systems. This includes user queries and prompts, model responses and confidence scores, decisions made by AI (especially autonomous agents), tools invoked by agents, data accessed or modified, API calls (to and from the AI system), system errors, and security-relevant events. These logs are then ingested into security monitoring systems (e.g., SIEM) for correlation, automated alerting on suspicious patterns, and proactive threat hunting by security analysts to identify indicators of compromise (IoCs) or novel attack patterns targeting AI systems."
detect.js,Detect,Technique,,AID-D-006,Explainability (XAI) Manipulation Detection,"Implement mechanisms to monitor and validate the outputs and behavior of eXplainable AI (XAI) methods. The goal is to detect attempts by adversaries to manipulate or mislead these explanations, ensuring that XAI outputs accurately reflect the model's decision-making process and are not crafted to conceal malicious operations, biases, or vulnerabilities. This is crucial if XAI is used for debugging, compliance, security monitoring, or building user trust."
